first_author_last_name,article_title,journal,publication_year,publication_date,pmid,pmcid,oaid,pdf_url,doi_url,cited_by_count,cited_by_ui_url,type,type_crossref,updated_date
Chan,Human TMEFF1 is a restriction factor for herpes simplex virus in the brain,Nature,2024,2024-07-24,39048830,,https://openalex.org/W4400948832,not available,https://doi.org/10.1038/s41586-024-07745-x,0,https://openalex.org/works?filter=cites:W4400948832,article,journal-article,2024-08-01T05:43:34.150760
Momenilandi,FLT3L governs the development of partially overlapping hematopoietic lineages in humans and mice,Cell,2024,2024-05-01,38701783,,https://openalex.org/W4396620188,http://www.cell.com/article/S0092867424004045/pdf,https://doi.org/10.1016/j.cell.2024.04.009,0,https://openalex.org/works?filter=cites:W4396620188,article,journal-article,2024-08-01T05:41:23.662223
Guérin,Helper T cell immunity in humans with inherited CD4 deficiency,The Journal of Experimental Medicine,2024,2024-04-01,38557723,,https://openalex.org/W4393386550,https://rupress.org/jem/article-pdf/221/5/e20231044/1926753/jem_20231044.pdf,https://doi.org/10.1084/jem.20231044,2,https://openalex.org/works?filter=cites:W4393386550,article,journal-article,2024-08-05T00:29:35.879343
Materna,The immunopathological landscape of human pre-TCRα deficiency: From rare to common variants,Science,2024,2024-03-01,38422122,,https://openalex.org/W4392282847,not available,https://doi.org/10.1126/science.adh4059,1,https://openalex.org/works?filter=cites:W4392282847,article,journal-article,2024-08-01T12:58:02.773428
Rosain,Recombinant IFN-γ1b Treatment in a Patient with Inherited IFN-γ Deficiency,Journal of Clinical Immunology,2024,2024-02-16,38363432,,https://openalex.org/W4391883684,https://link.springer.com/content/pdf/10.1007/s10875-024-01661-5.pdf,https://doi.org/10.1007/s10875-024-01661-5,0,https://openalex.org/works?filter=cites:W4391883684,article,journal-article,2024-08-05T02:10:08.539190
Bastard,Higher COVID-19 pneumonia risk associated with anti-IFN-α than with anti-IFN-ω auto-Abs in children,The Journal of Experimental Medicine,2024,2024-01-04,38175961,,https://openalex.org/W4390576813,https://rupress.org/jem/article-pdf/221/2/e20231353/1922390/jem_20231353.pdf,https://doi.org/10.1084/jem.20231353,10,https://openalex.org/works?filter=cites:W4390576813,article,journal-article,2024-08-05T18:46:54.419298
Neehus,Human inherited CCR2 deficiency underlies progressive polycystic lung disease,Cell,2024,2024-01-01,38157855,,https://openalex.org/W4390350774,http://www.cell.com/article/S0092867423013235/pdf,https://doi.org/10.1016/j.cell.2023.11.036,8,https://openalex.org/works?filter=cites:W4390350774,article,journal-article,2024-08-04T19:43:20.621852
Benezech,"Pre–Covid-19, SARS-CoV-2–Negative Multisystem Inflammatory Syndrome in Children",New England Journal of Medicine,2023,2023-11-30,38048195,,https://openalex.org/W4389120393,not available,https://doi.org/10.1056/nejmc2307574,2,https://openalex.org/works?filter=cites:W4389120393,letter,journal-article,2024-08-04T23:26:15.333518
Bohlen,Human MCTS1-dependent translation of JAK2 is essential for IFN-γ immunity to mycobacteria,Cell,2023,2023-11-01,37875108,,https://openalex.org/W4387882122,http://www.cell.com/article/S0092867423010784/pdf,https://doi.org/10.1016/j.cell.2023.09.024,12,https://openalex.org/works?filter=cites:W4387882122,article,journal-article,2024-08-01T12:33:31.327015
Khan,Associations between HLA class II alleles and IgE sensitization to allergens in the Qatar Biobank cohort,Journal of Allergy and Clinical Immunology Global,2023,2023-08-01,37779520,,https://openalex.org/W4377103638,http://www.jaci-global.org/article/S2772829323000425/pdf,https://doi.org/10.1016/j.jacig.2023.100117,2,https://openalex.org/works?filter=cites:W4377103638,article,journal-article,2024-07-30T04:30:56.037187
Ali,"Organizing training workshops on gene literature retrieval, profiling, and visualization for early career researchers",F1000Research,2023,2023-05-11,37448622,,https://openalex.org/W4376134695,https://f1000research.com/articles/10-275/pdf,https://doi.org/10.12688/f1000research.36395.2,0,https://openalex.org/works?filter=cites:W4376134695,preprint,journal-article,2024-08-02T13:00:15.005265
Liu,Encephalitis and poor neuronal death–mediated control of herpes simplex virus in human inherited RIPK3 deficiency,Science Immunology,2023,2023-04-14,37083451,,https://openalex.org/W4366603686,not available,https://doi.org/10.1126/sciimmunol.ade2860,14,https://openalex.org/works?filter=cites:W4366603686,article,journal-article,2024-08-01T12:21:02.845522
Massa,Interferons and Resistance Mechanisms in Tumors and Pathogen-Driven Diseases—Focus on the Major Histocompatibility Complex (MHC) Antigen Processing Pathway,International Journal of Molecular Sciences,2023,2023-04-04,37047709,,https://openalex.org/W4362637082,https://www.mdpi.com/1422-0067/24/7/6736/pdf?version=1680604271,https://doi.org/10.3390/ijms24076736,4,https://openalex.org/works?filter=cites:W4362637082,review,journal-article,2024-08-01T07:54:29.499731
Philippot,Human IL-23 is essential for IFN-γ–dependent immunity to mycobacteria,Science Immunology,2023,2023-02-03,36763636,,https://openalex.org/W4320032950,not available,https://doi.org/10.1126/sciimmunol.abq5204,34,https://openalex.org/works?filter=cites:W4320032950,article,journal-article,2024-07-31T18:40:58.845021
Rosain,Human IRF1 governs macrophagic IFN-γ immunity to mycobacteria,Cell,2023,2023-02-01,36736301,,https://openalex.org/W4318987669,http://www.cell.com/article/S0092867422015811/pdf,https://doi.org/10.1016/j.cell.2022.12.038,40,https://openalex.org/works?filter=cites:W4318987669,article,journal-article,2024-08-01T12:13:03.303233
Lévy,Human CARMIL2 deficiency underlies a broader immunological and clinical phenotype than CD28 deficiency,The Journal of Experimental Medicine,2022,2022-12-14,36515678,,https://openalex.org/W4311826195,https://rupress.org/jem/article-pdf/220/2/e20220275/1445527/jem_20220275.pdf,https://doi.org/10.1084/jem.20220275,10,https://openalex.org/works?filter=cites:W4311826195,article,journal-article,2024-08-01T12:07:14.957987
Ogishi,Inherited human ITK deficiency impairs IFN-γ immunity and underlies tuberculosis,The Journal of Experimental Medicine,2022,2022-11-03,36326697,,https://openalex.org/W4308485012,https://rupress.org/jem/article-pdf/220/1/e20220484/1443174/jem_20220484.pdf,https://doi.org/10.1084/jem.20220484,11,https://openalex.org/works?filter=cites:W4308485012,article,journal-article,2024-08-01T12:02:38.822875
Nasrallah,"Detection of Antinuclear Antibodies Targeting Intracellular Signal Transduction, Metabolism, Apoptotic Processes and Cell Death in Critical COVID-19 Patients",Mediterranean Journal of Hematology and Infectious Diseases,2022,2022-10-29,36425144,,https://openalex.org/W4307687256,https://mjhid.org/index.php/mjhid/article/download/5112/4249,https://doi.org/10.4084/mjhid.2022.076,2,https://openalex.org/works?filter=cites:W4307687256,article,journal-article,2024-08-06T08:01:43.523174
